danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,cluster
0.73,0.685,-9.348,0.045,0.129,2.91e-06,0.121,0.969,89.975,6DXhnhJ1Y5v43xWMKsdKf3,237373,3.0
0.732,0.3,-18.602,0.0538,0.865,0.648,0.0778,0.985,95.76,6upHJl0v1Ft9DV3IZwvHVu,129289,2.0
0.536,0.712,-6.711,0.0266,0.571,0.0097,0.0327,0.729,101.617,75Ej5w6NWSuSAjmrpz1L85,174522,3.0
0.674,0.664,-10.227,0.0309,0.154,0.913,0.0679,0.32,135.026,37hu8gZIzWVucWNDer2LB2,344120,3.0
0.398,0.331,-16.487,0.0305,0.148,0.0646,0.124,0.759,89.316,1TASEXFXWLXmZ8kFug3sC0,133747,3.0
0.551,0.173,-20.512,0.0361,0.945,0.946,0.106,0.66,144.569,39siLD5lpEzG2UAomeBXog,151836,2.0
0.494,0.109,-23.56,0.0484,0.99,0.856,0.125,0.599,160.222,56oEzXpHsCLzfwVNJ5RIph,136000,2.0
0.29,0.37,-15.926,0.0593,0.886,0.91,0.112,0.134,99.573,5IT294DfagvTWUiDXFKjpO,640188,1.0
0.647,0.406,-14.45,0.0537,0.0247,0.898,0.107,0.81,79.443,3aYQfu8ftcL5T6BucutxD6,175072,3.0
0.477,0.431,-14.423,0.0344,0.611,0.951,0.107,0.92,101.016,0xLq0rbZ8sfEKfgMB3QSsF,178390,3.0
0.331,0.232,-17.72,0.0431,0.868,0.934,0.0973,0.0692,109.802,5K8BwPXLN7rdlYsPHFXrY3,555506,1.0
0.15,0.229,-17.426,0.0657,0.941,0.845,0.118,0.0793,65.121,3FTtol76FmRdVNRUO42csG,885000,1.0
0.0939,0.121,-18.803,0.0398,0.831,0.864,0.113,0.0389,74.079,0MN3erUzrHFyq9dS3lzpoX,1163160,1.0
0.494,0.109,-23.56,0.0484,0.99,0.856,0.125,0.599,160.222,6bqmG5ns0ZTUQdVWogwcaY,136000,2.0
0.673,0.241,-17.589,0.047,0.889,0.901,0.111,0.462,118.109,0BXXRtNtcujtoTWYORd65X,157778,2.0
0.365,0.385,-13.718,0.0469,0.795,0.888,0.109,0.179,111.273,2WqdefsY6H3FDtPOvLpaQX,564800,1.0
0.344,0.449,-13.955,0.0475,0.847,0.926,0.0977,0.28,108.559,4nme70lTDNLI3mdpKrnrO0,572360,1.0
0.502,0.443,-7.464,0.0516,0.731,0.0,0.0888,0.279,137.669,3k7ndd6utthRxNbt39Eohh,194147,3.0
0.392,0.156,-18.118,0.0385,0.953,0.956,0.0843,0.535,132.058,3ejpnLTJJeeMe2K7V95iIn,145467,2.0
0.165,0.224,-19.254,0.0559,0.921,0.906,0.091,0.0829,79.912,1uRbdaivScgsQwmgL8Gh4o,930227,1.0
0.717,0.461,-10.577,0.047,0.03,0.942,0.109,0.733,109.189,1Yc8HnBJbl6yElVrFhFjto,139714,3.0
0.379,0.132,-23.652,0.0445,0.924,0.885,0.201,0.337,115.736,2jxTnCytpoA8CUpUBwkXDN,225307,1.0
0.239,0.136,-19.361,0.0419,0.907,0.819,0.228,0.0533,139.072,5bjUHR5BpjSZIVA7589gje,980027,1.0
0.242,0.0064,-31.786,0.0476,0.984,0.000179,0.217,0.0768,93.856,1dAQYqVf3fCABL7nf3yo2T,236467,3.0
0.579,0.29,-14.684,0.04,0.00693,0.854,0.117,0.82,175.061,61pqHGvXoY63DAR12SXF3C,157222,1.0
0.291,0.0615,-25.065,0.0419,0.878,0.0513,0.174,0.285,91.505,5cwGpCmE26wvR2ohdgXxVt,271533,2.0
0.266,0.0925,-28.599,0.0496,0.968,0.0914,0.123,0.307,172.184,6SYmGnaXer7plAd1IZ4wbW,246667,0.0
0.31,0.0748,-26.288,0.0438,0.805,0.00213,0.551,0.407,164.45,0ZGC2bChSiuSPIGOvJ01i5,187587,1.0
0.156,0.0366,-28.693,0.0459,0.79,0.000151,0.348,0.144,85.314,0oe9JeKwkinjOw7qX6H34q,196493,2.0
0.409,0.216,-17.215,0.0388,0.84,0.895,0.108,0.527,156.831,5fG9P4WU9UoV9RKIIUWj1o,145450,2.0
0.504,0.45,-11.962,0.0392,0.76,0.903,0.108,0.843,154.125,4D5ipXsw7ZZmXyOFqkQCxt,208794,1.0
0.281,0.52,-10.034,0.0408,0.739,0.872,0.0885,0.254,105.934,3i0fv7LMmruqvMbaRMnKrW,591787,3.0
0.385,0.785,-7.561,0.285,0.226,0.0,0.113,0.52,90.905,1TPHpnCQLbyPffN1EXSu9p,229800,3.0
0.538,0.463,-14.745,0.0291,0.0175,0.921,0.129,0.524,83.859,0bXbSJIgnd4kuq7X1UkEz3,147278,3.0
0.596,0.442,-18.168,0.0468,0.228,0.918,0.0874,0.95,77.704,3gG3zR5WTJ5bo6ZnsVkwYs,137607,1.0
0.245,0.212,-17.967,0.0431,0.788,0.755,0.0883,0.065,95.8,5HepI6E5fM3MAYJNSCwphN,959667,2.0
0.43,0.296,-20.532,0.0357,0.985,0.0252,0.338,0.813,149.923,604ELPPFgbFlW0SHoEYVJw,72360,3.0
0.794,0.475,-12.277,0.0582,0.00706,0.7,0.204,0.964,126.198,3IsPC8zhCk5xc4CqpfKxV5,154853,1.0
0.331,0.232,-17.72,0.0431,0.869,0.932,0.0973,0.0696,109.802,1YfPknYyTUJkBPrLhLEqNa,555506,1.0
0.0971,0.0876,-19.221,0.0445,0.93,0.884,0.0932,0.0369,75.308,1a6lI5wiVGditty2m8clCJ,1213000,1.0
0.347,0.198,-14.196,0.0335,0.956,0.906,0.272,0.431,109.937,0FzbLlf3GuPzV5HzU72MiQ,353027,0.0
0.262,0.925,-6.247,0.0883,0.000608,0.00713,0.964,0.485,101.709,2nwnHQJCsnZsjabF69vzTx,278800,3.0
0.733,0.533,-11.367,0.0472,0.642,0.85,0.0762,0.922,105.868,1sS4ofQNz2krSHorMSxqdN,272000,1.0
0.31,0.433,-9.644,0.0433,0.734,0.866,0.143,0.337,62.424,4p2u8XJpRS8bGzBFaomAr9,147168,2.0
0.506,0.37,-11.476,0.0385,0.886,0.891,0.11,0.19,126.23,6ZHs3tFZ5r18Pr0Wc63yZg,162480,1.0
0.291,0.351,-15.951,0.0494,0.888,0.9,0.169,0.152,99.714,2jXJFfDELb6Q8xVmnV3ZYp,635000,3.0
0.828,0.293,-16.712,0.0625,0.725,0.0,0.328,0.924,115.79,6s9qCimqRT4Er1WEOk2UIM,202605,3.0
0.494,0.462,-9.411,0.0294,0.611,0.941,0.08,0.394,102.239,4qdcy0qFxoCsWLQ4rcV0A4,310613,3.0
0.344,0.498,-6.856,0.0319,0.254,0.000117,0.14,0.0763,146.206,2LUHE1tCp9LwQGGEzw9U3s,337720,3.0
0.704,0.419,-20.282,0.0472,0.405,0.912,0.0827,0.881,89.724,36EHK3PZ3LTw9L1WNZZwNl,190693,3.0
0.556,0.346,-11.469,0.0251,0.378,0.0528,0.101,0.228,87.392,53Yg1INiN5JfUtBGLbL8ur,184076,3.0
0.584,0.378,-13.847,0.0276,0.00201,0.755,0.0629,0.624,89.118,5Sgo2wv2HqULUoTlb4FN5Z,137795,1.0
0.193,0.0841,-20.479,0.0385,0.963,0.85,0.318,0.203,184.815,59GfxGiOT9JsFYedPNtVHv,441133,2.0
0.566,0.0365,-32.293,0.0993,0.811,0.0105,0.0804,0.433,151.851,5Mfqj8AwcWpmx4A56Qwnxw,209000,3.0
0.875,0.397,-9.702,0.0832,0.125,0.842,0.109,0.213,94.675,0aR3IkYZHL9MwKaNOMEa3Z,118819,1.0
0.084,0.069,-22.538,0.0447,0.91,0.85,0.31,0.0378,77.14,3xdaJeX7KK8opV3W1VYJRe,1392000,2.0
0.366,0.0656,-22.639,0.0397,0.977,0.89,0.122,0.371,176.929,3iRFiMxCHfYWY7Kc67yJCB,275347,3.0
0.492,0.897,-6.352,0.0638,0.0944,0.00941,0.166,0.93,101.461,7fFpKX0PXuHNE9QZHgDdC5,174120,3.0
0.75,0.667,-5.125,0.0505,0.161,0.0,0.0569,0.984,102.681,0BqmB5puDjLlPrCVyxo2MK,128187,3.0
0.357,0.952,-4.196,0.145,2.52e-05,0.0833,0.244,0.572,170.047,5aWASYP59JnRRD08mBCMTk,243040,1.0
0.182,0.0577,-26.776,0.0426,0.96,0.251,0.0829,0.0789,96.6,0GSlKmt3CBnEXjTsoizorJ,212000,1.0
0.277,0.111,-18.573,0.0346,0.957,0.875,0.0769,0.268,92.866,5FrA1BnRou2jZ8emu5KHJc,415427,2.0
0.553,0.325,-14.649,0.0746,0.514,0.9,0.339,0.782,167.518,2hJDBsKchSdWS5ZGT0nidq,186827,1.0
0.32,0.0893,-17.266,0.0363,0.937,0.748,0.164,0.141,130.452,2Hb9LPdItg18VbyZOxuYGC,663867,3.0
0.459,0.662,-12.643,0.0351,0.677,0.985,0.182,0.839,160.204,2ZFjdXaZbKg5LPYeCOzYEb,59560,3.0
0.647,0.406,-14.45,0.0537,0.0247,0.898,0.107,0.81,79.443,6YPcoF9bE68KjVDGpyogMO,175072,3.0
0.649,0.564,-9.02,0.024,0.0502,0.842,0.0258,0.962,95.023,57hGd0z8bQFVloAjbH5HAa,158733,3.0
0.477,0.431,-14.423,0.0344,0.611,0.951,0.107,0.92,101.016,7rJsf9fL0qBdSHxHfEOTcW,178390,1.0
0.27,0.314,-18.393,0.0485,0.847,0.914,0.061,0.15,98.272,1QfOKaD8YcsqsVEsD47e1g,610053,1.0
0.307,0.156,-16.168,0.0298,0.848,0.913,0.0907,0.377,98.512,5nutC7luTjw6sum1YefXig,417000,3.0
0.749,0.713,-12.406,0.0493,0.00427,0.928,0.149,0.345,120.03,6CIJxDGxECiAFB9Hl9TzCL,181023,1.0
0.314,0.401,-14.657,0.0459,0.776,0.879,0.0947,0.167,102.841,3YH6dC1qJjWxnPjotrnqNT,571733,1.0
0.212,0.135,-19.454,0.0404,0.856,0.896,0.0723,0.0504,140.297,2ib4zAMn2SPTv2s0pqkHh6,956827,1.0
0.354,0.427,-13.562,0.0565,0.878,0.89,0.0795,0.241,95.821,4EJpcm9X96J3ogQPxOskg9,632800,1.0
0.27,0.319,-18.484,0.05,0.853,0.902,0.0645,0.149,98.338,1q8XTjptrc7XLFePQ0RHo5,612173,3.0
0.664,0.635,-9.51,0.0314,0.000708,0.885,0.131,0.921,126.424,3vufFoHTAkvrZ0je0IvWgI,174295,3.0
0.345,0.66,-3.206,0.0306,0.211,0.0,0.142,0.847,137.898,5TdmgFgSW4AjVDJPS2odNo,173182,4.0
0.646,0.421,-13.677,0.92,0.334,0.0,0.439,0.788,145.029,2IeRk37jJaCIdfenrnFAp3,188166,3.0
0.368,0.715,-7.494,0.0333,0.000135,0.763,0.247,0.399,97.884,5nX0GrbW3BmZcBkpw8bu5h,139267,4.0
0.714,0.552,-10.485,0.937,0.414,0.0,0.515,0.595,112.618,5JCVQAJYXUmi0AGo3gk17H,180194,1.0
0.172,0.0952,-20.16,0.0376,0.962,0.864,0.525,0.184,74.075,6X4XUPdR5uzgjmQMvZfhyz,552227,1.0
0.32,0.0669,-20.725,0.0366,0.968,0.831,0.107,0.221,96.562,01rul7iDpkOsYUpuHYUspk,452293,3.0
0.472,0.807,-6.904,0.0321,0.00424,0.901,0.273,0.802,134.027,6dJVhvId2dckaBnudk0Ot3,175038,3.0
0.717,0.493,-10.199,0.0348,0.848,0.976,0.0399,0.872,115.534,2lgHxoEGR5AcXFWAA3i75O,116307,1.0
0.393,0.0904,-19.523,0.0595,0.965,0.031,0.161,0.114,99.088,5aL4zZqIcBsLMOMRpbtk3I,549893,2.0
0.496,0.183,-18.807,0.0354,0.986,0.847,0.146,0.757,141.027,70v59qyBHxSkr8YjhOWl2l,138387,1.0
0.274,0.0369,-22.406,0.0372,0.957,0.69,0.135,0.175,176.441,4QX079Wo0Bp2QcgO1ssIDb,610560,3.0
0.828,0.293,-15.34,0.0449,0.00073,0.812,0.112,0.666,105.491,6lzEjrThrnrB4tz0kuXJ32,169508,3.0
0.664,0.635,-9.51,0.0314,0.000708,0.885,0.131,0.921,126.424,206nwQwHUS770S3rmkSI1p,174295,3.0
0.614,0.65,-8.484,0.0296,0.245,0.98,0.171,0.89,154.553,0DV19GhcrYs0TD4wXRSpmT,81683,3.0
0.579,0.29,-14.684,0.04,0.00693,0.854,0.117,0.82,175.061,28gbtZLAi1tj87I90LHkEP,157222,2.0
0.643,0.326,-17.384,0.0346,0.883,0.826,0.118,0.773,132.004,7gbFBgVsSOdac2auJGNSYq,180297,3.0
0.717,0.461,-10.577,0.047,0.03,0.942,0.109,0.733,109.189,5pjPqx6LM8N2aOFqT7oHsL,139714,2.0
0.555,0.46,-14.663,0.0339,0.882,0.954,0.0497,0.532,103.675,6qLa3ANZ5pBz7xSXq8xdSE,222413,2.0
0.598,0.372,-15.772,0.0472,0.978,0.826,0.301,0.565,105.24,64IRKPzwaJ6MG572Vp3uF0,154680,1.0
0.199,0.0565,-27.026,0.0431,0.994,0.171,0.0985,0.0329,71.884,7H5AT5PHExnOAD0DPNAKF4,163400,1.0
0.113,0.056,-27.645,0.0459,0.994,0.54,0.102,0.0335,176.988,24yeoLrZL3rdmuOgyABIW0,175107,1.0
